list_name,name,label,image,label::language1
DBMP_Com_Action,BH,Brush Hogging,,
DBMP_Com_Action,CT,Cut/Remove Trees,,
DBMP_Com_Action,BC,Brush Control,,
DBMP_Com_Action,GR,Plant Growth Regulator Application,,
DBMP_Com_Action,GC,Planting � Ground Cover,,
DBMP_Com_Action,LS,Planting� General Site,,
DBMP_Com_Action,TF,Selective Tree Felling,,
DBMP_Com_Action,TT,Selective Tree Trimming,,
DBMP_Com_Action,TB,Remove Trees From SWM Embankment � > 4 in. DBH,,
DBMP_Com_Action,MM,Mow Meadow,,
DBMP_Com_Action,MO,Mow Turf,,
DBMP_Com_Action,MH,Mulch - Shredded hardwood,,
DBMP_Com_Action,MS,Mulch � Straw or Wood Cellulose Fiber,,
DBMP_Com_Action,NM,Nutrient Management Plan Needed,,
DBMP_Com_Action,TS,Turf Seeding,,
DBMP_Com_Action,CI,Invasive Species Control � Cattail Control,,
DBMP_Com_Action,TI,Invasive Species Control � Thistle Control,,
DBMP_Com_Action,MI,Invasive Species Control � Meadow,,
DBMP_Com_Action,PI,Invasive Species Control � Phragmites Control,,
DBMP_Com_Action,II,Invasive Species Control � Poison Ivy Control,,
DBMP_Com_Action,TP,Planting � Treatment Area,,
DBMP_Com_Action,SP,Planting � Treatment Area Shading,,
DBMP_Com_Action,TV,Trim Vegetation,,
DBMP_Com_Action,SB,Weed Control in Shrub Beds,,
DBMP_Com_Action,TA,Remove Trees from SWM Embankment � = 4 in. Diameter Breast Height (DBH),,
DBMP_Com_Action,IV,Invasive Species Control � General,,
DBMP_Com_Action,RW,Regrade Pipe to Convey Water,,
DBMP_Com_Action,FA,Repair or Replace Aggregate Filter Blanket,,
DBMP_Com_Action,FB,Fill Animal Burrows,,
DBMP_Com_Action,SG,Lay Sod/ Grass on Bare Areas,,
DBMP_Com_Action,PG,Place Gate in Fence at Spillway,,
,,,,
DBMP_on_off,off,Off,,
DBMP_on_off,on,On,,
,,,,
DBMP_Loc_Action,fp,Facility Perimeter,,
DBMP_Loc_Action,gw,Groundwater Monitoring Wells,,
DBMP_Loc_Action,ba,Basin,,
DBMP_Loc_Action,fw,Forebay Weir,,
DBMP_Loc_Action,de,Downstream Embankment,,
DBMP_Loc_Action,ue,Upstream Embankment,,
DBMP_Loc_Action,da,Entire Drainage Area,,
DBMP_Loc_Action,fb,Forebay,,
DBMP_Loc_Action,en,Non SWM Embankment,,
DBMP_Loc_Action,dt,Downstream Toe,,
DBMP_Loc_Action,fn,Fence,,
DBMP_Loc_Action,ps,Principal Spillway,,
DBMP_Loc_Action,ls,Level Spreader,,
DBMP_Loc_Action,ri,Riser Interior,,
DBMP_Loc_Action,em,Embankment SWM,,
DBMP_Loc_Action,va,Valve,,
DBMP_Loc_Action,ab,Aquatic Bench,,
DBMP_Loc_Action,co,Clean Outs,,
DBMP_Loc_Action,ap,Adjacent Property,,
DBMP_Loc_Action,ar,Access Road,,
DBMP_Loc_Action,gb,General BMP,,
DBMP_Loc_Action,cs,Control Structure,,
DBMP_Loc_Action,es,Emergency Spillway,,
DBMP_Loc_Action,if,Inflow to BMP,,
DBMP_Loc_Action,of,Orifice,,
DBMP_Loc_Action,oc,Outflow Channel,,
DBMP_Loc_Action,mp,Micropool,,
DBMP_Loc_Action,ut,Upstream Toe,,
DBMP_Loc_Action,ow,Observation Well,,
DBMP_Loc_Action,sb,Safety Bench,,
,,,,
DBMP_bmp_conc_c,al,Algae,,
DBMP_bmp_conc_c,cs,Construction Sediment,,
DBMP_bmp_conc_c,df,Detergents - Foam,,
DBMP_bmp_conc_c,fl,Floatables,,
DBMP_bmp_conc_c,tr,Trash,,
DBMP_bmp_conc_c,fe,Fecal Matter,,
DBMP_bmp_conc_c,other,Other Contaminants,,
DBMP_bmp_conc_c,cw,Chemical Waste,,
DBMP_bmp_conc_c,od,Organic Debris,,
DBMP_bmp_conc_c,ss,Suspended Sediment,,
DBMP_bmp_conc_c,os,Oil,,
,,,,
DBMP_bmp_conc_i,hw,Hogweed,Herkulesstaude_fg01.jpg,
DBMP_bmp_conc_i,js,Japanese Stiltgrass,1024px-Microstegium_vimineum_NPS-1.jpg,
DBMP_bmp_conc_i,bt,Bull Thistle,"Spear_Thistle,_Ottawa.jpg",
DBMP_bmp_conc_i,jk,Japanese Knotweed,Expansion_of_Japanese_Knotweed_(5951588772).jpg,
DBMP_bmp_conc_i,nm,Norway Maple,1024px-Spitz-Ahorn_(Acer_platanoides)_2.jpg,
DBMP_bmp_conc_i,pb,Porcelain Berry,Ampelopsis_brevipedunculata_or_porcelain_berry_close_up.JPG,
DBMP_bmp_conc_i,th,Tree of Heaven,1024px-Leaves_of_ailanthus_altissima_(tree_of_heaven)_suckers_2.jpg,
DBMP_bmp_conc_i,rc,Reed canary Grass,Phalaris_arundinacea_1.jpg,
DBMP_bmp_conc_i,pl,Purple Loosestrife,682px-Lythrum_salicaria_-_harilik_kukesaba.jpg,
DBMP_bmp_conc_i,ao,Autumn Olive,768px-Elaeagnus_umbellata1.jpg,
DBMP_bmp_conc_i,cr,Common Reed,Phragmites_australis_Schilfrohr.jpg,
DBMP_bmp_conc_i,gm,Garlic Mustard,685px-Alliaria_petiolata_marais-belloy-sur-somme_80_26042007_3.jpg,
DBMP_bmp_conc_i,ct,Canada Thistle,718px-Cirsium_arvense_-_p�ldohakas.jpg,
DBMP_bmp_conc_i,mm,Mile-aMinute Vine/Devil's Tear Thumb,768px-Persicaria_perfoliata_080922.JPG,
DBMP_bmp_conc_i,ob,Oriental Bittersweet,Oriental_Bittersweet_(7141847631).jpg,
DBMP_bmp_conc_i,mr,Rosa multiflora,1024px-Rosa_multiflora_03.jpg,
,,,,
D_Img_Direction_Ref,M,Magnetic North,,
D_Img_Direction_Ref,T,True North,,
,,,,
D_Longitude_Ref,E,East,,
D_Longitude_Ref,W,West,,
,,,,
D_Latitude_Ref,N,North,,
D_Latitude_Ref,S,South,,
