type	name	label	hint	constraint	constraint_message	required	required_message	appearance	default	readonly	relevant	calculation	choice_filter	repeat_count	label::language1	hint::language1	media::audio	media::image	body::accuracyThreshold	bind::esri:fieldType	bind::esri:fieldLength	bind::esri:fieldAlias	body::esri:inputMask	bind::esri:parameters	bind::saveIncomplete
begin repeat	BMP_R_ACCESS_	BMP_R_ACCESS_																							
select_one DBMP_subject	ACCESS__PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	ACCESS__PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_BMP_CONT	BMP_R_BMP_CONT																							
select_one DBMP_subject	BMP_CONT_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	BMP_CONT_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_BMP_INSP_ACTION	BMP_R_BMP_INSP_ACTION																							
select_one DBMP_Com_Action	COM_ACTION	Action Comment																		esriFieldTypeString	4				
text	LOC_ACTION	Action Location																		esriFieldTypeString	2				
end repeat																									
																									
begin repeat	BMP_R_DS_CONDITION	BMP_R_DS_CONDITION																							
select_one DBMP_subject	DS_CONDITION_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	DS_CONDITION_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_EMBD_CVR	BMP_R_EMBD_CVR																							
select_one DBMP_subject	EMBD_CVR_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	EMBD_CVR_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_EMBD_ERO	BMP_R_EMBD_ERO																							
select_one DBMP_subject	EMBD_ERO_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	EMBD_ERO_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_EMBD_SEEP	BMP_R_EMBD_SEEP																							
select_one DBMP_subject	EMBD_SEEP_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	EMBD_SEEP_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_EMBD_TOE	BMP_R_EMBD_TOE																							
select_one DBMP_subject	EMBD_TOE_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	EMBD_TOE_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_EMBU_CVR	BMP_R_EMBU_CVR																							
select_one DBMP_subject	EMBU_CVR_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	EMBU_CVR_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_EMBU_ERO	BMP_R_EMBU_ERO																							
select_one DBMP_subject	EMBU_ERO_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	EMBU_ERO_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_EMBU_TOE	BMP_R_EMBU_TOE																							
select_one DBMP_subject	EMBU_TOE_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	EMBU_TOE_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_ESPW_OPEN	BMP_R_ESPW_OPEN																							
select_one DBMP_subject	ESPW_OPEN_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	ESPW_OPEN_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_ESPW_STAB	BMP_R_ESPW_STAB																							
select_one DBMP_subject	ESPW_STAB_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	ESPW_STAB_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_ORF_OPEN	BMP_R_ORF_OPEN																							
select_one DBMP_subject	ORF_OPEN_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	ORF_OPEN_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_ORF_TRSH	BMP_R_ORF_TRSH																							
select_one DBMP_subject	ORF_TRSH_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	ORF_TRSH_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_PHOTOS	BMP_R_PHOTOS																							
select_one DBMP_subject	MISC_BMP_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	MISC_BMP_PHOTO_COMMENT	Additional Comments																		esriFieldTypeString	255				
decimal	EXIF_IMAGE_DIRECTION	Image Direction																		esriFieldTypeDouble					
select_one D_Img_Direction_Ref	EXIF_IMAGE_DIRECTION_REF	Image Direction Reference																		esriFieldTypeString	2				
text	EXIF_TIME_STAMP	GPS Time Stamp																		esriFieldTypeString	20				
text	EXIF_DATE_STAMP	GPS Date Stamp																		esriFieldTypeString	20				
text	EXIF_MAP_DATUM	EXIF Map Datum																		esriFieldTypeString	20				
decimal	EXIF_ALTITUDE	Altitude																		esriFieldTypeDouble					
integer	EXIF_ALTITUDE_REF	Altitude Reference																		esriFieldTypeInteger					
decimal	EXIF_LONGITUDE	Longitude																		esriFieldTypeDouble					
select_one D_Longitude_Ref	EXIF_LONGITUDE_REF	Longitude Reference																		esriFieldTypeString	2				
decimal	EXIF_LATITUDE	Latitude																		esriFieldTypeDouble					
select_one D_Latitude_Ref	EXIF_LATITUDE_REF	Latitude Reference																		esriFieldTypeString	2				
end repeat																									
																									
begin repeat	BMP_R_PONDING	BMP_R_PONDING																							
select_one DBMP_subject	PONDING_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	PONDING_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_PRETREAT	BMP_R_PRETREAT																							
select_one DBMP_subject	PRETREAT_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	PRETREAT_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_PRIN_SPWY	BMP_R_PRIN_SPWY																							
select_one DBMP_subject	PRIN_SPWY_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	PRIN_SPWY_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_QIN_COND	BMP_R_QIN_COND																							
select_one DBMP_subject	QIN_COND_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	QIN_COND_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_QIN_STAB	BMP_R_QIN_STAB																							
select_one DBMP_subject	QIN_STAB_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	QIN_STAB_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_RSR_OPEN	BMP_R_RSR_OPEN																							
select_one DBMP_subject	RSR_OPEN_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	RSR_OPEN_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_RSR_SEDI	BMP_R_RSR_SEDI																							
select_one DBMP_subject	RSR_SEDI_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	RSR_SEDI_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_RSR_STRC	BMP_R_RSR_STRC																							
select_one DBMP_subject	RSR_STRC_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	RSR_STRC_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_RSR_TRSH	BMP_R_RSR_TRSH																							
select_one DBMP_subject	RSR_TRSH_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	RSR_TRSH_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_RSR_VALV	BMP_R_RSR_VALV																							
select_one DBMP_subject	RSR_VALV_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	RSR_VALV_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_SITE_VEG	BMP_R_SITE_VEG																							
select_one DBMP_subject	SITE_VEG_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	SITE_VEG_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
																									
begin repeat	BMP_R_SPWY_OUT	BMP_R_SPWY_OUT																							
select_one DBMP_subject	SPWY_OUT_PHOTO_SUBJECT	Subject																		esriFieldTypeString	4				
text	SPWY_OUT_PHOTO_COMMENT	Comment																		esriFieldTypeString	255				
end repeat																									
